vocab,amount
,4
$200,1
$40,1
1500s,1
18th,2
18thcentury,1
19th,1
1stgrowths,1
20th,1
30room,1
3c,1
3d,2
5”,1
80’s,1
a,1418
abandon,1
abandoned,1
abandoning,1
abilities,1
ability,10
ability”,1
able,4
aboard,3
aboriginal,2
about,91
above,4
abroad,5
absence,1
absent,1
absolute,1
absorb,2
absorbing,1
abstaining,1
abstract,1
abundant,1
academic,2
accelerator,1
accent,1
accept,6
acceptable,2
acceptance,1
accepted,2
accepted”,1
access,2
accessories,2
accident,13
accidental,1
accidentally,2
accidents,2
accompany,1
accomplish,1
according,4
account,1
accountant,1
accounting,3
account”,1
accuracy,2
accurate,1
accused,3
ache,1
aches,1
achieve,4
achievement,6
achievements,1
achilles’,1
acquaintance,2
acquire,1
acres,1
acrobatics,1
across,3
act,3
acting,3
action,3
actions,2
activated,1
active,1
activities,4
activity,3
actors,2
actress,1
acts,1
actual,1
actually,3
adapt,1
addict,1
addicted,4
addiction,1
addicts,2
adding,1
addition,7
additional,1
address,2
addresses,1
adds,1
adept,1
adjust,1
adjusting,1
admirable,1
admiration,1
admire,2
admired,2
admission,1
admit,4
admits,1
admitted,2
adopted,1
adorable,1
adult,1
adults,4
adults’,1
advance,6
advanced,2
advantage,1
advantages,2
adventure,1
advertise,2
advertisement,1
advertising,4
advice,3
advices,1
advised,1
adviser,1
advocating,1
affair,1
affairs,2
affected,1
affection,2
affects,1
afford,8
affordable,2
afraid,7
after,126
afternoon,12
afterward,2
afterwards,9
afterwards”,1
again,29
against,9
age,9
agencies,1
agency,7
agent,1
agents,1
ages,1
aggressive,1
aging,1
ago,14
agree,2
agreed,4
agriculture,6
ahead,2
aid,1
aids,3
aids’s,1
aimed,1
air,7
airconditioner,1
aircraft,3
airline,1
airmail,1
airplane,4
airport,6
aisle,1
alarmed,1
album,6
alcohol,4
alcohol:,1
alcoholic,1
alcoholic”,1
alert,2
alex,4
alice,3
alice’s,1
alike,1
alist,1
alive,4
all,112
all;,1
allen,1
alley,1
allow,1
allowance,1
allowed,1
allround,1
almost,12
alone,15
along,13
aloud,1
alphabet,1
already,5
also,57
although,21
altogether,1
aluminum,1
always,49
am,46
amateurs,1
amazed,4
amazement,1
amazing,3
ambassador,2
ambition,2
ambitious,1
ambulance,1
america,4
american,6
among,5
amount,11
amounts,1
amuse,1
amusement,3
an,181
analyses,2
analyze,1
analyzed,1
ancestors,1
ancestors’,1
ancestors”,1
ancient,4
and,1083
andy,5
anesthetic,1
angel,2
anger,4
angle,1
angrily,1
angry,7
animal,8
animals,8
animation,1
ankle,3
ankles,1
annie’s,1
anniversary,1
announced,2
announcement,2
annoyed,2
annoying,5
annual,5
another,28
answer,3
answered,6
answering,1
ant,1
antique,1
antiques,2
ants,2
anxiety,1
anxious,3
any,27
anybody,1
anyhow,2
anyhow”,1
anymore,16
anyone,1
anything,14
anytime,4
anyway,2
anyways,1
anywhere,2
aoc,1
apart,3
apartment,7
ape,1
apologize,2
apologized,1
apology,3
apparent,1
appeal,2
appear,2
appearance,7
appearance”,1
appeared,5
appendicitis,1
appetite,1
applaud,1
applauded,2
applause,1
appliances,1
applicant,1
applicants,1
application,3
applied,2
apply,1
appointments,1
appoints,1
appraisers,1
appreciate,2
appreciated,1
appreciating,1
appreciation,2
apprentice,2
approach,5
approaching,1
appropriate,1
appropriately,1
approval,1
approve,1
approved,2
april,1
apron,2
arabic,1
arch,1
archaeologist,1
archaeology,1
are,146
area,8
areas,3
aren’t,2
argue,1
argued;,1
argues,1
arises,1
aristocratic,1
arithmetic,1
arm,2
armchair,1
armed,1
arms,2
army,7
around,25
aroundtheclock,1
arouse,2
arrange,2
arranged,1
arrest,2
arrested,2
arrival,1
arrive,1
arrived,11
arrogant,1
arrows,1
art,13
article,2
articles,4
artificial,1
artist,9
artistic,1
artists,9
artist’s,1
arts,13
artworks,2
as,152
ashamed,1
ashes,1
asia,1
asian,2
aside,2
ask,11
asked,32
asking,3
asks,2
asleep,4
aspect,1
aspiration,1
aspire,1
assemble,1
assembly,1
assigned,1
assimilation,1
assistance,1
assistant,1
assisting,1
associate,1
association,1
associations,1
assuming,1
assurance,1
assure,1
astonished,1
astonishing,1
astray,1
at,198
ate,6
athlete,3
athletes,2
athletic,1
atmosphere,7
atms,1
attach,1
attack,1
attacked,3
attacking,1
attacks,1
attempt,2
attempting,1
attended,1
attention,9
attitude,11
attract,3
attracted,4
attracting,1
attraction,1
attractive,7
auction,1
audience,8
audiences,3
audition,2
august,1
aunt,2
auntie,1
aunts,2
australia,4
australian,1
author,3
authorities,1
authority,1
authors,1
automatic,1
automobile,1
autumn,1
available,2
avantgarde,1
avatar,2
avenue,1
average,2
avoid,7
avoided,1
avoiding,1
awaits,1
awake,3
awaked,1
awakened,2
awarded,2
aware,2
away,32
awful,2
babies,3
baby,2
bacardi,1
bachelor,1
back,28
backed,1
background,4
backgrounds,1
backgrounds;,1
backpacks,1
backward,1
backyard,7
bacon,1
bacons,1
bacteria,1
bacterial,1
bad,16
badly,3
badminton,1
bag,9
baggage,1
bags,1
baits,1
bake,1
baked,1
bakery,1
balance,2
balcony,1
bald,2
bali,4
ball,3
ballet,1
balloons,1
balls,2
bamboo,1
bananas,2
band,16
bandage,2
bangkok,4
bank,3
bankrupt,2
banks,2
banquet,1
bar,7
barbecue,3
barber,1
barbershop,2
barbie,1
bare,1
barefoot,1
barely,3
bargain,2
barked,1
barn,3
barrel,1
barren,1
barrier,1
barriers,1
bars,1
baseball,4
based,3
basement,2
basic,1
basins,1
basis,3
basket,2
basketball,5
bass,1
bat,1
bath,3
bathe,1
bathroom,4
bathtub,3
batman,1
baton,1
battery,2
battle,1
bays,1
bbq,2
be,143
beach,9
beaches,2
beachside,1
beam,1
beans,1
bear,5
beard,2
bears,7
bears’,1
beasts,2
beat,3
beating,2
beats,1
beautiful,27
beautifully,2
beauty,5
beauty”,1
became,26
because,77
become,30
becomes,9
becoming,2
bed,4
bedroom,4
beds,1
bee,1
beef,1
been,31
beer,8
before,40
beg,1
began,8
beggars,1
begged,1
beginner,1
beginning,9
begins,2
behave,1
behaved,1
behavior,11
behind,10
being,37
beings,2
beings’,1
belief,2
beliefs,1
believe,11
believed,4
bell,2
belly,1
belong,1
belonged,1
beloved,1
below,2
belt,2
bench,2
beneath,1
beneficial,1
benefit,2
benefits,2
bent,1
berlin,1
bermuda,1
berries,1
beside,7
besides,11
best,33
bestknown,1
bet,1
better,21
between,16
beverages,3
beyonce,1
beyond,1
bible,1
bicycle,1
bid,2
big,19
biggest,2
bike,1
bikini,1
bill,3
billboard,1
billion,2
billionaire,1
bingo,2
biography,3
biology,1
bird,2
birds,10
birds’,2
birth,1
birthday,12
birthdays,1
biscuits,1
bit,1
bites,1
biting,1
bitter,1
black,5
blackboard,1
blackout,1
blame,2
blamed,3
blames,1
blaming,1
blank,1
blanket,1
bleaching,1
bled,2
bleeding,2
blend,1
bless,1
blessing,1
blind,2
blocked,1
blocks,1
blog,7
blood,7
bloody,2
bloom,1
blooming,1
blooms,1
blossom,1
blow,3
blue,2
bluecollar,1
blushed,1
board,2
boarding,1
boasting,1
boat,1
boats,2
bodies,5
body,15
bodyguard,1
boil,1
boiled,1
bold,1
bomb,5
bombed,1
bombs,1
bond,1
bonds,2
bone,2
book,16
booked,1
books,9
booms,1
booth,2
boots,2
border,1
bored,1
boring,6
born,5
borrow,2
borrowed,1
borrowing,1
boss,8
both,13
bothered,1
bottle,5
bottles,4
bottom,2
bought,13
bounce,1
bound,2
bouquet,1
bourdon,1
boutique,2
bow,1
bowl,1
bowling,1
box,1
boxes,1
boy,1
boyfriend,5
boyfriends,3
boys;,1
brad,1
brain,2
brains,1
braked,1
branches,3
brand,2
brands,1
brandy,1
brass,1
brave,2
bravery,2
bread,3
break,9
breakfast,4
breakthrough,1
breast,2
breath,2
breathe,1
breathed,1
bred,1
breed,1
breeding,1
breeds,1
breeze,2
brewed,1
bricks,1
bride,2
bridegroom’s,1
bride’s,1
bridge,2
bridges,1
brief,1
briefly,1
bright,4
brilliant,2
brilliantly,1
bring,9
bringing,1
brings,1
broad,2
broadcast,2
broadcasted,1
broke,8
broken,5
brook,2
brother,17
brothers,1
brought,13
brown,6
bruce,7
brunch,1
brush,1
brushed,2
brushes,1
brutal,1
bubbles,1
bucket,2
bucket:,1
buckets,1
bucks,5
budding,1
budget,4
budget;,1
buffet,2
bugs,1
build,3
building,3
buildings,2
built,5
bull,2
bullet,1
bulletin,1
bulletproof,1
bully,1
bull’s,1
bumped,4
bumping,1
bunch,1
bundle,2
burden,4
bureaucratic,1
burger,1
buried,1
burn,1
burned,4
burning,1
burst,7
bury,1
bus,8
buses,3
bush,5
business,23
businessman,2
businessmen,1
busy,9
busyness”,1
but,181
butter,3
butterflies,2
button,1
buy,20
buying,10
buys,1
by,134
bysshe,1
cabbage,1
cabin,2
cable,1
cafeteria,1
café,2
café’,4
cage,1
caged,1
cai,1
cake,3
cakes,1
calculated,1
calculates,1
calculation,1
calculator,1
calendar,1
california,2
call,4
called,6
calls,3
calm,4
calmed,1
calmly,1
calorie,2
came,40
camel,1
camera,1
camp,3
campaign,3
camping,2
campus,3
can,68
cancelled,1
cancer,4
candidates,1
candidate’s,1
candle,2
candles,1
candy,1
canes,1
cannabis,1
canned,1
cannot,14
canyon,1
can’t,5
can’t”,1
cap,1
capable,2
capacity,1
cape,1
capital,1
capitalism,1
captain,1
captured,1
car,28
carbon,1
card,2
cards,4
care,16
cared,2
career,13
carefree,1
careful,3
carefully,4
cares,2
cargo,1
carnivore,1
carol,4
carol’s,1
carpenter,1
carpet,1
carriage,1
carried,2
carrier,1
carrots,1
carry,4
cars,5
cart,1
cartons,1
cartoon,3
carving,1
case,5
cases,1
cash,3
cash;,1
cashmere,1
cassettes,1
cast,1
casted,1
castle,3
casual,1
cat,2
catch,6
catching,2
cattle,2
caught,5
cause,3
caused,7
causes,6
causing,2
cave,1
cd,2
cds,1
cease,1
ceiling,1
celebrate,3
celebration,3
celebrity,1
cell,2
center,5
centers,1
central,3
century,4
cereal,2
ceremony,4
certain,3
certificates,1
chain,1
chairs,1
chalks,1
challenge,4
challenges,1
chamber,1
champion,1
championship,2
chance,9
chances,2
change,10
change;,1
changed,3
change”,2
changing,2
channel,1
channels,1
chaos,1
chapters,1
character,4
characteristic,1
characteristics,2
characters,1
character’s,1
charge,2
charged,1
charging,1
charitable,2
charities,6
charity,1
charm,2
charmed,1
charts,1
chase,3
chat,2
chatting,1
cheap,2
cheat,1
cheated,1
check,3
checked,1
cheek,1
cheeks,1
cheer,2
cheered,1
cheerful,2
cheese,1
chemical,4
chemicals,1
chemistry,1
cherish,1
cherries,1
cherry,1
chess,1
chest,2
chew,1
chi,1
chick,1
chicken,7
chief,3
child,13
childhood,8
childish,1
childish;,1
childlike,1
children,19
children’s,6
child’s,1
chili,1
chilly,2
chimney,3
china,5
chinese,10
chins,1
chip,1
chiu,1
chocked,1
chocolate,3
choice,6
choices,1
choose,8
choosing,1
chopped,1
chopsticks,1
chores,1
chorus,1
chose,5
christine,1
christmas,1
chubby,1
church,2
cigarette,2
cigarettes,2
cigars,1
cinderella,1
cinema,2
circle,2
circulation,2
circumstances,1
circus,4
citizen,2
citizen’s,2
city,25
civilization,1
civilized,1
claim,2
claimed,2
clarify,1
clarkson,1
clashing,1
class,13
classes,5
classic,4
classmate,2
classmates,2
classroom,1
class”,2
clawed,1
clay,1
clean,10
cleaned,1
cleaner,1
cleaners,2
clear,8
clearly,3
clerk,1
clever,1
client,3
clients,4
cliff,1
climate,1
climax,1
climaxed,2
climb,2
climbed,2
climbing,2
clinic,5
clinical,1
clip,1
clock,1
cloister,3
close,3
closed,1
closer,2
closet,2
cloth,1
clothe,1
clothes,17
clothing,1
cloud,3
cloudy,1
clown,6
clown’s,1
club,12
clubs,4
clues,2
clumsy,1
coach,4
coal,1
coarse,1
coast,2
coaster,5
coat,1
coats,1
cockroach,1
cocktail,2
coconuts,1
codes,1
coffee,14
coffee”,1
coincidence,1
coins,1
coke,1
cold,2
colder,1
coldly,1
collapse,1
collar,1
colleague,1
colleagues,3
colleagues’,1
collect,2
collected,1
collecting,1
collection,4
collections,4
college,6
collin,1
colombo,1
colonies,1
color,5
colorful,5
colors,3
columns,1
comb,1
combination,1
combined,1
come,17
comedy,4
comes,6
comfortable,8
comforted,2
comic,1
coming,9
command,1
commander,2
commented,1
comments,3
commerce,1
commercial,1
commit,1
committed,3
committee,4
common,6
common:,1
communicate,1
communicating,1
communication,1
community,6
companies,3
companions,1
company,20
company’s,1
company”,1
compared,2
comparison,1
compensate,1
compensation,1
compete,1
competence,1
competent,1
competition,6
competitions,2
competitive,2
competitors,2
complain,1
complained,5
complaints,2
complete,1
completed,1
completely,1
completion,1
complex,1
complicate,1
complicated,3
composed,1
composedness,1
composer,2
composing,1
compositions,1
comprehensively,1
computer,15
computers,2
computing”,1
comrades,1
concentrated,1
concentration,1
concept,1
concern,1
concerned,1
concerning,2
concert,11
concluded,1
conclusion,2
concrete,1
condition,8
conditioner,1
conditions,1
conducted,1
conductor,1
conference,5
confess,2
confidence,6
confident,2
confidently,2
confine,1
confirmed,1
confiscated,1
conflict,2
confront,1
confused,1
confusion,1
congratulate,1
congratulations”,1
congress,4
congressmen,1
connected,1
connection,1
conquered,1
conscience,1
conscious,1
consequence,1
consequences,1
consequent,1
consequently,2
conservation,1
consider,2
considerable,2
consideration,2
considered,4
considering,1
consistent,1
consisting,1
consists,2
constant,1
constantly,1
constitutes,1
constitution,1
construct,1
construction,3
constructive,1
consult,1
consultant,1
consultants,1
consulting,2
consume,1
consumer,1
consumers,1
contact,3
contain,1
container,1
containers,1
contains,1
contemporary,1
content,1
contentment,1
contents,1
contest,7
contexts,1
continent,1
continual,1
continue,2
continued,2
continuingly,1
continuous,4
contract,10
contradiction,1
contrary,1
contrast,1
contribute,3
contributing,1
contribution,1
contributions,2
control,6
controller,1
controversial,2
convenience,1
convenient,1
conveniently,1
convention,1
conventional,1
conversation,2
conversed,1
convey,1
convince,1
cook,5
cooked,1
cooker,1
cookery,1
cookie,1
cookies,3
cooking,5
cool,5
cooperate,2
cooperation,1
cooperative,1
cope,1
copied,1
copious,1
copy,1
copying,1
cords,1
core,1
corn,2
corner,4
corporation,1
correct,6
corrected,1
corresponds,1
corrupt,2
cosmetics,3
cost,6
costly,2
costumed,1
costumes,2
cottage,4
cotton,2
couch,2
cough,2
could,62
couldn’t,23
council,2
count,1
counter,1
countless,2
countries,7
country,14
countryside,6
county,2
couple,5
courage,3
courageous,1
course,8
courses,2
court,1
cousin,4
cover,5
covered,2
coward,1
cowardice,1
cowboy,2
coworkers,3
cows,2
crab,1
crack,1
cradled,1
craft,1
cram,2
crash,1
crashed,1
crawling,1
crayons,1
craziest,1
crazily,1
crazy,3
cream,4
create,1
created,2
creates,1
creating,2
creation,1
creations,1
creative,3
creativity,3
creatures,2
credit,2
creeping,1
crept,1
crew,3
crickets,2
cried,3
crime,1
crimes,1
crimes”,1
criminal,1
criminals,4
crisis,2
critical,1
criticism,5
criticize,1
criticized,1
critics,2
critize,1
crops,1
cross,2
crowd,2
crowded,1
crowned,1
cruel,2
cruise’s,1
crush,2
cry,2
crying,2
crystal,1
cuban,1
cubs,1
cultural,1
culture,4
cultures,1
cunning,1
cup,8
cupboard,1
cups,1
cure,4
curio,1
curiosity,2
curious,2
current,5
currently,1
currents,1
curse,1
curtain,2
curtains,3
curves,1
cushion,1
custom,1
customer,3
customers,10
customers’,2
customer’s,1
customs,1
cut,2
cute,2
cutting,1
cycle,1
d&g,1
dad,3
daddy,1
dad’s,2
daily,8
dairy,1
dallas,1
dam,1
damage,1
damaged,1
dance,7
dance;,1
danced,2
dancer,1
dancers,2
dancing,1
danger,4
dangerous,4
dared,3
dares,1
dark,3
darkest,1
darkness,1
darling,1
dashed,2
data,1
date,13
dated,1
dates;,1
dating,6
daughter,6
daughters,1
david,2
dawn,1
day,116
day:,1
days,12
daytime,1
day”,4
dead,4
deadline,1
deaf,1
deal,5
dealer,1
deals,1
dear,2
death,3
deaths,1
debate,1
debated,1
debt,3
debts,1
decade,1
decades,2
deceiver,1
december,2
decide,6
decided,25
decides,1
decision,5
decisionmaking,1
deck,1
declared,1
declaring,1
declining,1
decorate,3
decorated,2
decorating,1
decoration,1
decorations,2
decrease,1
decreasing,1
deed,1
deep,6
deeply,4
deer,1
def,1
defeated,2
defend,1
defending,1
defense,1
defensive,1
defined,1
definite,1
degree,4
delay,2
delicate,1
delicious,8
delighted,1
delightedly,1
delightful,1
delights,1
deliver,1
delivery,3
delson,1
demand,1
demanded,1
democracy,3
democratic,2
demonstrates,1
demonstration,1
denied,2
dense,1
dentist,1
depart,1
department,2
departure,1
depend,1
dependent,1
depends,1
deposits,1
depressed,1
depresses,1
depression,3
depth,1
derek,2
describe,1
described,8
description,1
deserted,1
deserved,2
deserves,1
design,3
designed,1
designer,1
designing,1
desire,2
desired,2
desk,4
despair,1
desperate,1
despite,4
dessert,1
desserts,1
destination,2
destroy,2
destruction,1
detail,1
details,1
detained,1
detect,1
detected,2
detective,1
detergent,1
determination,2
determined,1
develop,1
developed,3
developers,1
developing,1
development,3
developmental,1
devices,1
devil,1
devised,1
devote,2
devotes,1
devoting,1
dial,1
dialed,2
dialogue,1
diamond,1
diarrhea,2
diary,2
dictionary,3
did,20
didn’t,58
die,1
diet,2
difference,1
differences,1
different,19
differs,1
difficult,6
difficulties,1
difficulty,2
dig,1
digested,1
digestion,1
digging,1
digital,2
dignity,2
digs,1
diligence,1
diligent,3
dim,1
dimes,1
diminish,1
dine,1
dining,2
dinner,17
dinosaurs,1
diploma,1
diplomat,1
dipping,1
direct,2
directed,1
direction,1
directly,3
director,3
directselling,1
dirt,1
dirty,9
disadvantage,1
disagreed,1
disappear,2
disappointed,3
disappointment,2
disaster,3
discarded,1
discipline,2
disco,1
disconnect,1
discount,1
discouragement,1
discovered,2
discovering,1
discovery,1
discs,2
discuss,1
discussed,1
discussing,2
discussion,3
disease,5
diseases,3
disguise,1
disgusting,1
dish,1
dishes,1
dishonest,1
disliked,1
dismiss,1
disneyland,2
disorder,1
display,1
displayed,1
displaying,1
dispute,1
dissatisfied,2
dissocial,1
dissuade,2
distance,2
distant,1
distinct,3
distinguish,2
distinguished,1
distinguishing,1
distract,1
distributed,2
distributing,1
distribution,1
district,2
districts,1
disturbances,1
disturbed,1
disturbing,1
ditch,2
dived,1
divided,1
divine,1
division,1
divorce,2
divorced,4
dizzy,1
dj,2
dkny,1
do,69
dock,1
doctor,18
doctors,1
documentary,1
dodge,1
does,8
doesn’t,11
dog,3
doing,14
doll,1
dollars,4
dolls,1
dolphin,1
domestic,4
dominant,1
dominate,1
donald,1
donate,2
donated,3
donating,1
donation,1
done,18
done”,1
dong,3
don’t,41
door,7
doorbell,1
doors,1
dorm,3
dormitory,1
dose,1
doubled,1
doubt,3
doubted,3
doubtful,1
doughnut,1
dove,1
down,33
download,2
downstairs,1
downtown,3
dozens,1
dr,3
draft,1
dragged,1
dragon,2
drained,1
drama,2
dramatic,1
dramatically,1
drank,9
drawer,1
drawing,3
drawn,2
dreaded,1
dream,16
dreamed,2
dreams,4
dress,5
dressed,3
dressing,2
drew,1
drift,1
drill,1
drink,15
drinking,20
drinks,2
drip,1
drive,5
driver,4
drivers,1
driver’s,3
drives,1
driving,5
drop,2
dropped,3
drops,1
drought,1
drove,6
drowned,1
drowning,2
drowsy,1
drug,2
drugs,5
drums,1
drunk,5
drunk”,1
dry,2
dryer,1
duck,3
due,12
dull,2
dumb,2
dump,1
dumping,1
dumplings,1
durable,1
during,26
dusk,1
dust,1
dusting,1
dusty,1
duty,4
dvd,1
dvds,1
dwarf,1
dyeing,1
dying,1
dynamic,1
dynasty,1
each,22
eager,3
eagles,2
early,12
earn,6
earned,6
earnest,3
earnings,1
earphones,1
earpiercing,1
earth,2
earthquake,2
ease,3
easier,3
easily,3
eassy,2
east,1
easy,7
easygoing,1
easy”,1
eat,14
eaten,4
eating,7
eats,3
echoes,1
eclipse,1
economic,2
economical,2
economics,1
economist,1
economy,3
edge,1
edit,1
edition,2
editions,1
editor,3
educates,1
educating,1
education,6
educational,1
effect,1
effective,1
effects,1
efficiency,1
efficient,1
effort,10
efforts,5
egg,1
eggs,2
eggyolks,1
eight,3
eighteenstore,1
eighty,1
either,2
elaborately,1
elastic,1
elbows,1
elder,1
elderly,1
eldest,1
elected,1
election,4
electric,2
electrician,1
electricity,2
electronic,3
electronics,1
elegant,2
elementary,2
elements,2
elephant,1
elevators,1
eleven,1
eliminated,1
elizabeth,1
else,5
elsewhere,1
email,1
embarrassed,3
embarrassing,7
embarrassment,1
embassy,1
embrace,1
emcee,1
emerged,1
emergency,1
emission,1
emitted,1
emotion,2
emotional,3
emperor,1
emphasis,2
emphasized,2
empires,1
employ,1
employee,4
employees,11
employer,1
employers,1
empty,1
enable,1
enclosed,1
encore,1
encountered,2
encourage,6
encouraged,3
encouraging,1
end,11
endangered,2
ended,3
endless,2
endorsement,1
ends,1
endure,1
enemies,2
enemy,2
energetic,2
energies,1
energy,4
enforce,1
engaged,1
engine,1
engineer,5
engineering,1
engineers,1
engines,1
england,4
england’s,1
english,13
english”,1
enhances,1
enjoy,15
enjoyable,1
enjoyed,6
enjoying,2
enjoys,3
enlarge,2
enlightened,1
enormous,4
enormously,1
enough,11
enter,2
entered,5
entertain,1
entertainment,3
entertainments,1
enthusiasm,1
enthusiastic,2
entire,3
entrance,1
entry,2
envelope,2
envied,1
envious,1
environment,15
environmental,1
environment”,2
envy,1
equal,1
equality,1
equipment,1
era,3
erase,1
erased,1
eraser,1
erect,2
err,1
errands,1
errors,1
erudite,1
eruption,1
escalators,1
escape,1
escaped,2
especially,8
essay,253
essays,1
essential,4
establishes,1
estate,1
estimate,1
etc,5
europe,1
evaluated,1
evaluation,1
evans,1
eve,2
even,74
evening,11
event,4
events,2
eventual,1
eventually,2
ever,18
everlasting,1
every,78
everybody,10
everyone,21
everyone’s,2
everything,18
everywhere,9
evidence,1
evident,1
evil,2
evilest,1
evoked,1
evolution,1
ewhiteboards,1
exact,1
exaggerate,1
exam,5
examination,1
examined,3
examinee,1
examinees,1
examiners,2
example,16
examples,1
exams,3
exceeded,1
excellence,1
excellent,3
except,1
exception,1
exceptional,1
excessive,2
exchanged,2
excited,4
excitedly,3
excitement,1
exciting,4
exclusive,1
excursion,1
excuse,1
excuses,2
execution,1
exercise,2
exgirlfriend,1
exgirlfriend’s,1
exhaust,1
exhausted,1
exhibit,1
exhibition,13
exhibitionism,1
exhibitionist,1
exist,1
existence,2
existing,2
exists,1
exit,1
expands,1
expansion,1
expect,3
expectation,6
expected,2
expects,1
expelled,1
expenditure,1
expense,3
expenses,3
expensive,10
experience,12
experienced,2
experiences,6
experiencing,3
experiment,3
experimental,1
experimenting,1
expert,2
experts,2
explained,3
explanations,1
exploded,1
explore,3
exploring,1
explosion,1
explosions,1
explosive,1
exported,2
exporting,1
exposed,2
expositions,1
exposure,1
express,2
expressing,1
expression,2
expressive,1
extend,1
extended,1
extent,1
extinct,2
extra,4
extraordinary,1
extremely,3
exwife,1
eye,2
eyebrows,1
eyes,11
f16,1
fable,1
fabulous,2
face,17
facebook,1
faced,1
faces,2
face”,1
facial,1
facilities,1
facilities”,1
facility,1
facing,1
fact,5
factors,3
factory,9
facts,1
faded,1
fail,3
failed,3
failing,1
failure,4
fainted,2
fair,5
fairskinned,1
fairy,1
faith,3
faithful,1
fake,6
fakes,1
fall,5
falling,2
false,1
fame,3
familiar,2
families,2
family,31
family’s,1
family”,1
famous,18
fan,2
fancy,7
fanned,1
fans,8
fantastic,2
fantasy,1
far,4
fare,1
farewell,2
farm,5
farmer,1
farmers,1
farmers’,2
farming,1
farther,1
fascinated,3
fascinating,2
fashion,6
fast,3
fastened,1
faster,1
