vocab,amount
plum,2
plumber,3
plums,1
plural,1
plus,2
pm,1
pocket,1
poem,1
poet,1
poetry,1
point,7
points,1
poison,2
poisonous,1
polar,8
pole,4
police,23
policeman,6
policemen,3
policies,2
policy,4
polish,3
polishing,1
polite,1
political,3
politician,5
politicians,3
politics,1
poll,1
polluted,1
pollution,4
pond,1
pondering,1
pony,1
pool,1
poor,5
pop,1
popcorn,2
popped,1
popular,9
popularity,4
popularize,1
population,3
porcelain,1
port,2
portable,1
porter,2
portion,1
portrait,3
portraits,1
portrayed,1
pose,1
position,3
positions,1
positive,2
possess,2
possession,2
possibility,3
possible,9
possibly,1
postage,1
postcard,1
posted,2
poster,1
posters,1
postindustrialized,1
postman,1
postpone,1
postponed,1
pot,5
potato,2
potatoes,4
potential,1
pottery,1
pounds,1
pouring,1
poverty,3
powder,1
power,10
powerful,1
practical,1
practice,9
practiced,1
practicing,3
praise,1
praised,6
pray,2
prayers,1
precious,1
precise,1
predict,2
prediction,1
prefer,2
preferable,1
preferred,1
pregnancy,1
pregnant,2
premiere,1
premium,1
preparation,1
prepare,5
prepared,3
preposition,1
presence,2
present,4
presentation,1
presentations,1
presents,1
preservation,1
preserve,1
president,6
press,4
pressed,1
pressure,10
pressure”,1
pretend,1
pretended,1
pretending,2
pretty,6
prevent,5
prevention,1
previous,4
prey,1
price,10
priceless,1
prices,1
pride,1
priest,2
primary,2
prime,6
primitive,1
primitives,1
prince,4
princess,2
prince’s,1
principal,3
principle,2
print,1
printed,2
printer,1
prison,3
prisoners,2
privacy,2
private,3
privileged,1
privileges,1
prize,4
prizes,1
probable,1
probably,5
problem,11
problems,15
problems”,1
procedure,1
proceed,1
proceeded,1
process,3
processed,1
proclaim,1
produced,6
producer,2
product,1
production,3
productive,1
products,10
profession,1
professional,11
professor,4
professors,1
professors’,1
profit,1
profitable,1
profits,5
program,2
programs,1
progress,2
progressing,1
project,1
prominent,1
promise,1
promised,5
promising,4
promote,2
promoted,2
promotion,3
prompt,1
promptly,1
pronounce,2
pronounced,1
pronunciation,2
proof,1
propaganda,1
proper,2
properly,1
properties,1
property,2
proposal,5
propose,2
proposed,4
proposing,1
prospering,1
prosperity,2
prosperous,1
protect,7
protected,4
protecting,2
protection,2
protective,1
protector,1
proteins,1
protest,1
proud,2
prove,1
proved,1
proverb,1
proves,1
provide,2
provided,3
provides,1
providing,1
prowl,1
psychological,1
psychologist,1
psychology,2
pub,4
public,21
publication,1
publicity,1
public’s,1
published,6
publishers,1
publishing,1
pudding,1
pull,1
pulling,1
pumping,1
pumpkin,2
pumps,1
punched,1
punished,1
punishments,2
punk,1
pupils,1
puppet,1
puppy,3
purchase,1
pure,2
purple,1
purpose,5
purse,1
pursue,1
pursue;,1
pursuing,1
pursuit,1
push,1
pushes,1
pushing,1
put,24
putting,3
puzzled,1
quaking,1
qualification,3
quality,5
quantify,1
quarrel,4
quarter,1
queen,1
queer,1
question,2
questions,11
quick,2
quickly,2
quiet,4
quilt,1
quit,7
quite,7
quizzed,1
quotation,1
quoted,1
rabbit’s,1
race,3
racers,1
racial,1
racing,1
radar,1
radically,1
radio,3
rag,1
rage,1
railroad,1
rain,6
rainbow,1
rainfall,1
raining,1
rainy,2
raise,3
raised,1
raisins,1
ran,12
rang,2
range,2
ranked,1
ransom,1
rap,1
rapid,3
rapper,2
rare,2
rarely,1
rate,6
rather,12
rats,2
raw,1
rays,1
razor,2
reach,4
reached,3
reacted,1
reaction,1
read,19
reader,2
readers,4
reading,5
reads,3
ready,5
real,5
realistic,1
reality,4
realize,1
realized,5
realize”,1
really,27
rearing,1
reason,9
reasonable,1
reasons,3
rebecca,3
rebel,2
rebels,1
rebel’s,1
rebuild,1
recall,2
recalled,1
receipt,1
receive,5
received,9
receiver,1
recent,1
recently,19
reception,1
recipe,3
recited,1
recognition,1
recognized,2
recommendation,1
recommends,1
reconciled,1
reconciliation,1
reconsider,1
record,3
recorded,2
recorder,2
recording,2
recordings,1
records,2
recover,2
recovered,2
recovery,1
recreation,1
recruitment,1
rectangle,1
rectangular,1
recycle,3
recycled,1
red,14
redone,1
reduce,4
reduction,1
redundant;,1
reference,1
refers,1
reflect,1
reflection,2
reforms,1
refresh,2
refreshing,1
refreshment,1
refrigerator,2
refugees,1
refunded,1
refusal,1
refused,2
regained,1
regarded,1
regarding,7
regimes,1
regime’s,1
reginae,1
region,2
regional,1
register,1
registered,1
registration,1
regret,1
regretful,1
regretted,3
regular,4
regularly,3
regulate,1
regulations,1
rehearsal,1
rejected,3
rejection,1
rejects,1
relate,1
relations,2
relationship,8
relationship;,1
relatives,2
relax,4
relaxation,1
release,3
released,4
reliable,2
relief,3
relieve,2
religion,2
religions,2
religious,3
reluctant,2
rely,1
remain,2
remained,1
remains,3
remarkable,2
remarks,4
remedy,3
remember,8
remembered,3
reminded,2
reminds,3
remit,1
remote,2
remove,1
removed,1
renew,2
renowned,2
rent,2
renting,1
repair,2
repayment,1
repeated,1
repetition,1
replaced,1
replacement,1
replay,1
replied,3
reply,2
report,3
reported,4
reporter,1
reporters,4
represent,1
representations,1
representative,5
represented,1
represents,2
reproduce,1
reproductions,1
republic,1
reputation,3
requested,3
requesting,1
requests,1
required,1
requirements,1
rescue,1
rescued,1
research,4
researched,1
researchers,3
researches,1
researching,1
resemble,1
resembled,1
reservations,1
reserved,1
resident,1
residents,7
resignation,1
resigned,1
resist,3
resistance,1
resolutely,1
resolution,3
resolved,1
resounded,1
resource,1
respect,5
respectable,1
respected,1
respectful,1
respectfully,1
respond,1
responding,1
response,1
responses,1
responsibilities,1
responsibility,2
responsible,6
rest,9
restarted,1
restaurant,22
restaurants,10
rested,1
restore,1
restricted,1
restriction,1
restrictions,1
restroom,3
result,9
resulted,2
results,2
resume,1
resumes,1
retain,1
retire,1
retired,6
retiree,1
retirement,1
retiring,1
retreated,2
return,1
returned,2
reunion,2
reveal,1
revealed,1
revenge,2
reviewed,1
revise,1
revision,1
revolution,1
revolution:,1
revolutionary,1
rewards,1
rhymes,1
rhythms,1
ribbon,1
rice,6
rich,11
riched,1
riches,1
rid,4
riddle,1
ride,5
riding,2
rigging,1
right,13
rights,3
rights”,1
right”,2
ring,1
ringing,1
rings,1
ripe,1
rise,4
risen,1
rises,1
risk,3
ritual,1
river,9
rivers,2
riverside,1
road,8
roads,1
roared,1
roast,1
roasted,2
rob,2
robbed,1
robber,3
robbery,3
robbing,1
robe,1
robot,3
rock,6
rocked,1
rockets,1
rocky,1
rode,2
role,4
rolex,1
roll,2
rolled,1
roller,5
romance,1
romantic,3
roof,1
room,18
rooms,2
rooster,1
root,2
rope,1
rose,1
roses,1
rotted,1
rotten,1
rough,1
roughly,1
round,1
rounds,1
routes,3
routine,2
rowed,1
royal,1
rubbed,1
rubber,1
rude,4
rug,1
ruined,4
ruin”,1
rule,3
ruler,1
rules,3
rumor,3
rumors,1
run,5
runner,1
running,6
runs,1
runway,1
rupee,1
rural,1
rush,1
rushed,3
rushing,1
russian,1
rust,1
rusty,2
s,1
sack,1
sacrifice,1
sacrificial,2
sad,2
sadness,1
safe,3
safely,1
safety,3
said,76
said:,3
sail,1
sailed,1
sailor,1
sake,1
salad,6
salary,5
sale,3
sales,4
salesperson,2
salon,1
salt,2
salty,1
same,19
samples,1
sand,1
sandwich,1
sandwiches,7
sang,1
sashimi,1
sat,8
satellite,1
satisfaction,1
satisfactory,1
satisfied,5
satisfy,3
satisfying,1
saturday,1
sauce,3
saucer,1
sauna,1
sausage,1
sausages,1
save,3
saved,4
saves,1
saving,5
savings,2
saw,28
sawed,1
say,8
saying,3
says,4
says:,1
scale,2
scandal,2
scar,2
scarce,1
scarcely,1
scare,3
scarecrow,2
scared,8
scarf,4
scary,3
scatter,1
scene,2
scenery,3
scenes,1
schedule,3
scholar,1
scholars,1
scholarship,1
school,40
schools,5
school’s,3
science,4
scientific,3
scientist,3
scientists,1
scientist”,1
scissors,1
scolded,1
scoop,1
scorched,1
scores,1
scouted,1
scratch,2
scream,2
screamed,2
screaming,2
screams,1
screen,3
screw,1
screwdrivers,1
scribbled,1
scrubbing,1
sculpture,1
sculptures,1
sea,2
seafood,1
seagulls,1
seal,1
search,1
searching,1
season,7
seat,4
seclude,1
second,8
secondary,1
secondhand,2
secondly,2
secret,2
secretary,2
secretly,1
secrets,1
section,1
sections;,1
security,4
see,26
seeds,1
seeing,4
seek,1
seeking,2
seem,3
seemed,2
seems,9
seen,3
sees,2
seesaw,1
seize,3
seldom,5
selected,2
selections,1
selfabased,1
selfconfidence,1
selfish,1
sell,3
seller,1
sellers,1
selling,4
semester,3
senate,1
send,4
sends,1
senior,1
sense,5
sensible,1
sensitive,3
sent,14
sentence,1
sentences,2
sentosa,1
separated,1
separation,1
september,5
serious,6
seriously,3
servants,1
serve,3
served,2
serves,1
service,3
services,1
serving,4
set,6
settled,1
settler,1
seven,1
seventeen,2
seventyeight,1
several,29
severe,1
severely,1
sew,1
sewed,1
sewing,1
sex,4
sexual,1
sexy,2
shades,1
shadow,2
shady,1
shakespeare,1
shall,1
shallow,1
shame,4
shameful,1
shampoo,1
shape,1
shaped,1
shapes,2
share,6
shared,2
shark,1
sharp,3
shaved,2
shaver,1
she,247
shed,1
sheep,7
sheet,2
shelf,1
shell,1
shelley,1
shells,1
shelter,1
shepherd,2
she’s,3
shi,1
shift,1
shine,3
shines,1
shinoda,1
shinoda’s,2
shiny,1
ship,6
shirt,4
shirts,1
shock,1
shocked,8
shocking,1
shoes,3
shoestrings,1
shook,3
shoot,2
shop,21
shopkeeper,2
shopping,5
shops,2
shore,1
short,5
shortcuts,1
shortened,1
shortly,1
shorts,2
shortsighted,1
shorttempered,1
shot,5
shots,2
should,50
shoulder,3
shoulders,2
shouldn’t,3
shout,1
shouted,2
shouting,1
shovel,1
show,20
showed,9
shower,8
showers,2
showing,3
showroom,1
shows,4
shrimp,1
shrug,1
shrunk,1
shut,2
shuttle,2
shy,4
shylock,1
shyness,1
sick,7
side,3
sidewalk,1
sigh,1
sighed,2
sight,3
sightseeing,1
signaled,1
signature,1
signed,7
significance,1
significant,3
signs,1
silence,2
silent,2
silk,1
silly,1
silver,3
similar,1
similarities,1
simple,5
simply,2
sin,1
since,39
sincere,2
sincerely,1
sincerity,1
sing,2
singapore,1
singer,2
singers,1
singing,3
single,5
singlesex,1
singular,1
sink,1
sip,2
sipping,1
sir,2
sister,6
sisters,1
sit,6
sitcoms,1
site,1
sites,1
sitting,3
situation,10
six,3
sixteen,1
sixth,3
sixty,3
size,2
skating,2
sketch,1
skiing,4
skill,9
skillful,1
skills,5
skill”,1
skin,8
skinny,4
skipped,1
skipping,1
skirt,3
sky,13
skyscraper,1
skyscrapers,1
slack,1
slapped,1
slave,2
sledge,1
sleep,10
sleeping,5
sleepy,1
sleeves,1
sleigh,1
slender,1
slept,4
sliced,2
slid,1
slight,1
slim,2
slip,2
slipped,1
slippers,1
slippery,2
slogan,1
slope,2
slow,3
slowing,2
slowly,1
slumps,1
small,9
smaller,1
smallest,1
smart,2
smell,3
smelled,2
smelly,1
smile,8
smith,3
smog,1
smoke,6
smoked,2
smoker;,1
smokers,5
smoker’s,1
smokes,1
smoking,9
smooth,2
smuggled,1
snack,1
snacks,1
snail,2
snake,1
snapped,1
sneaked,1
sneezing,1
snow,1
snowwhite,1
snowywhite,1
so,120
soap,2
soared,1
sobbing,1
soccer,2
social,13
society,8
sockets,1
socks,1
soda,1
sodas,1
sofa,1
sofas,1
soft,1
softened,1
software,1
soil,1
soiled,1
solar,1
sold,7
soldier,5
soldiers,2
solely,1
solid,1
solider,2
solo,1
solution,2
solutions,1
solve,4
solving,2
some,87
somebody,2
somebody’s,1
someday,3
someday”,2
somehow,1
someone,6
someone’s,1
something,27
sometimes,18
somewhat,1
somewhere,2
son,15
song,5
songs,7
soon,20
sophomore,1
sore,2
sorrow,1
sorrowful,2
sorry,6
sorry”,1
sort,1
soul,2
sound,4
sounded,2
soundly,1
sounds,1
soup,10
sour,1
sources,1
south,2
southern,1
souvenir,1
soybean,1
space,6
spading,1
spaghetti,1
spare,2
spared,2
sparked,1
sparkles,1
sparrows,1
sparrow”,1
spat,1
speak,5
speaker,1
speaking,1
spear,1
special,15
specialists,1
specialized,1
specialties,1
species,2
specific,2
speech,11
speed,1
spell,1
spelling,1
spend,21
spending,4
spends,4
spent,15
spice,1
spicy,5
spider,2
spiders,1
spilt,2
spinach,1
spinning,1
spirit,3
spiritual,1
spite,4
splash,1
splendid,1
split,1
spoil,1
spoiled,1
spoils,1
spoke,2
spokesman,2
spoon,1
sport,1
sports,4
sportsman,1
sportsmanship,1
spot,1
sprained,1
sprang,1
spray,3
spread,7
spreads,1
spring,3
sprinkle,1
sprinkled,1
sprinkling,2
sprung,1
spy,6
spy’s,1
square,1
squeeze,1
squeezed,1
squeezing,1
squirrel,1
sri,1
st,1
stab,1
stable,1
stadium,3
stadium”,1
staff,1
stage,14
stain,2
stairs,2
stake,1
stale,1
stalked,1
stalker,1
stamps,1
stand,11
standard,1
standing,1
stands,1
stank,1
star,6
stared,2
stars,1
start,9
started,28
starts,4
starved,1
starving,1
state,3
stated,3
statements,2
states,1
stating,1
station,10
statue,2
status,1
stay,8
stayed,6
staying,3
stays,1
steady,1
steak,4
steal,1
stealthy,1
steamed,2
steel,1
steep,1
stele,4
stem,1
step,4
stepchild,1
stepfather,1
stepmother,1
stepped,2
steps,4
stereo,1
stick,3
sticks,1
sticky,1
stiff,1
still,47
stingy,1
stirred,2
stitch,1
stock,1
stockings,1
stole,3
stolen,1
stomach,6
stomachache,1
stone,1
stones,1
stood,5
stool,1
stop,15
stopped,9
stopping,1
storage,1
store,15
stored,1
stores,2
store’s,1
stories,4
storm,2
stormy,1
story,11
stove,1
straight,2
strange,2
strangely,1
stranger,3
strangers,2
strategies,1
strategy,2
straw,2
strawberry,1
strayed,1
stream,2
street,7
streets,11
strength,1
strengthen,1
stress,2
stretch,1
strict,3
stricter,1
striking,1
string,1
stripped,1
strives,1
striving,1
stroked,2
strong,6
strongbox,2
stronger,1
struck,1
structure,2
struggle,1
struggled,3
stubborn,2
stuck,3
student,6
students,24
student’s,2
studied,7
studies,4
studio,6
study,2
studying,5
stuff,6
stung,1
stupid,7
stupidest,1
style,12
styles,3
stylish,4
stylish;,1
subject,1
subjects,2
submarine,1
subordinates,3
subsequently,2
substance,2
substantial,1
subtracting,1
suburbs,3
subway,1
subway;,1
succeed,4
succeeding,1
success,18
successful,15
successfully,5
success”,1
such,45
suck,1
sudden,4
suddenly,16
suffer,3
suffered,1
suffering,4
sufficient,1
sugar,3
suggested,4
suggesting,1
suggestions,2
suggests,1
suicide,1
suit,2
suitable,4
sum,1
summarize,1
summary,1
summer,10
summit,2
sun,4
sunday,7
sunglasses,2
sunny,4
sunscreen,1
sunshine,3
suntan,1
sun”,1
super,3
superior,1
superman,2
supermarket,3
superstars,1
supervise,1
supervision,1
supervisor,3
supervisors,1
supper,1
supply,1
supplying,1
support,6
supported,4
supporters,1
supports,1
supposed,2
sure,11
surely,1
surface,5
surfboard,1
surfing,2
surgeon,1
surgery,6
surgical,2
surging,1
surprise,3
surprised,4
surprising,5
surrender,2
surrounded,5
surroundings,2
survey,3
survival,1
survive,2
surviving,1
survivor,1
susan,2
susan’s,1
suspected,2
suspicion;,1
suspicious,2
sustainable,1
swallow,1
swallowed,1
swam,1
swan,1
swaying,1
sweat,2
sweated,1
sweater,3
sweet,6
sweetheart,1
swept,2
swift,1
swim,2
swimming,1
swings,1
switch,1
switched,1
swollen,1
sword,1
swore,3
syllables,1
symbol,1
symbolic,1
symbolism,1
symbols,1
sympathetic,1
sympathy,3
symphony,2
symptoms,1
syrup,1
system,4
systematic,1
table,10
tablet,1
tacks,1
tagged,1
tai,3
tail,1
tailor,1
tailormade,1
tailor’s,1
taipei,3
taiwan,12
taiwan’s,1
take,49
taken,8
takes,6
taking,19
tale,1
talent,2
talented,1
tales,1
talibans,1
talk,6
talkative,2
talked,6
talking,5
talks,2
tall,2
tallest,1
tame,3
tan,1
tangerines,1
tanks,1
tap,1
tapes,1
tapped,1
tar,1
target,1
targeted,1
task,1
taste,5
tasteful,1
tastes,1
tasting,1
tasty,1
tattoo,2
taught,3
tax,1
taxi,3
tea,8
teach,9
teacher,9
teachers,6
teaches,1
teaching,4
teachings,1
team,4
teammate,2
teammates,1
teams,1
tears,4
tease,1
technical,1
technician,1
technique,1
technological,1
technology,8
ted,1
tedious,1
teenage,1
teenager,2
teenagers,4
teens,2
teeth,8
telegram,1
telegraph,1
telephone,2
telescope,1
television,1
tell,8
telling,2
tells,1
temper,2
temperature,1
temple,1
temporarily,1
temporary,2
ten,13
tend,2
tended,1
tendency,1
tender,2
tends,1
tennis,1
tens,1
tense,1
tension,1
tent,3
tequila,1
term,4
terminate,1
terminating,1
terms,1
terrible,5
terribly,1
terrific,1
terrified,1
territory,1
terror,1
terrorism,1
test,7
tested,1
tests,1
texas,1
text,2
textbooks,3
texts,1
thai,4
thailand,8
than,42
thank,1
thanked,2
thankful,1
thanks,3
that,319
that’s,9
the,2265
theater,3
theatre,1
their,127
them,116
theme,8
themes,2
themselves,7
them”,1
then,55
theory,2
there,131
therefore,32
there’s,23
these,13
they,239
thick,1
thief,8
thin,2
thing,24
things,20
things;,1
think,23
thinking,6
thinks,10
third,2
thirdly,1
thirst,2
thirsty,1
thirteen,1
thirty,5
thirtyyear,1
thirtyyearold,1
this,102
this”,1
thorough,1
those,23
though,15
thought,43
thoughtful,1
thoughts,3
thousand,6
thousands,4
thread,1
threads,1
threat,3
threatened,2
three,22
threw,6
throat,2
through,16
throughout,2
throwing,3
thumbed,1
thunder,1
thundery,1
thursday,1
thus,5
ticket,1
tickets,1
tickle,1
tide,1
tidy,2
tie,2
tied,3
ties,1
tiger,1
tight,4
tighten,1
tightly,1
till,1
timber,1
time,111
times,9
timid,1
timing,2
tiny,1
tip,2
tire,1
tired,4
tiresome,1
tissue,1
title,1
to,1333
toast,1
toasted,1
tobacco,3
today,7
today’s,1
toe,1
toeic,1
toes,1
tofu,2
together,15
toilet,2
told,35
tolerable,1
tolerance,1
tolerant,1
tolerate,2
tom,17
tomato,5
tomb,2
tomorrow,6
tone,1
tongue,2
tonight,1
tons,2
too,42
took,55
tool,2
tooth,1
top,8
topic,1
topics,2
tortoise,1
toss,1
total,2
totally,5
touch,2
touched,5
touching,1
tough,5
tour,5
tourism,1
tourists,2
toward,6
towards,4
towed,1
towel,2
towers,1
town,19
toy,3
traced,1
traces,2
tracks,1
trader,1
trader’s,1
trades,2
tradition,1
traditional,6
traffic,6
tragedy,2
tragic,1
trail,1
trailed,1
train,9
trained,2
trainers,1
training,7
trains,1
traits,1
tranced,1
tranquilizer,1
transferred,1
transformed,3
translate,2
translator,1
transmission,1
transport,3
transportation,4
transported,1
traps,2
trash,2
travel,6
traveler,1
traveling,1
travels,1
tray,1
treasure,4
treat,1
treated,4
treatment,1
tree,8
trees,6
tree”,1
trembled,1
trembling,1
tremendous,1
trend,1
trends,2
trevor,1
triangle,1
tribal,1
tribe,1
trick,1
tricks,3
tricky,1
tried,28
tries,5
trifle,1
trim,2
trip,16
trips,1
triumph,1
trivial,1
troop,1
troops,1
tropical,1
trots,1
trouble,2
troubled,1
troublesome,1
trousers,1
trousers’,1
truck,1
true,9
truly,2
trumpeting,1
trunk,1
trust,3
truth,6
truthful,1
try,9
trying,9
tshirt,1
tshirts,1
tub,2
tube,1
tuesday,1
tugged,1
tugofwar,1
tuition,1
tuktuk,2
tuktuk”,1
tulips,1
tumbled,1
tummy,1
tune,1
tunnel,1
turkey,1
turn,7
turned,13
turning,2
turns,1
turntable,1
turtle,3
tutor,2
tv,9
tvs,1
twelve,1
twenties,1
twenty,6
twentyone,1
twice,1
twigs,1
twin,1
twinkling,1
twisted,1
two,29
twothirds,1
twoyearold,1
type,2
typewriter,1
typhoon,3
typical,1
typist,1
ugly,4
umbrella,2
un,2
unable,2
unacceptable,1
unaware,1
uncle,8
uncommon,1
under,19
undergraduate,1
underpass,1
understand,10
undertake,1
underway,1
underwear,2
unemployed,1
unemployment,3
unexpectable,1
unexpected,1
unexpectedly,1
unfavorable,1
unforgettable,1
unfortunately,6
unfriendly,1
unhealthy,1
uniform,1
union,1
unique,3
unit,1
unite,1
united,2
uniting,1
unity,1
universal,1
universe,2
universities,2
university,7
unknown,3
unless,3
unlike,2
unlucky,1
unmade,1
unpleasant,1
unquestionably,1
unrealistic,1
until,12
up,73
updated,1
uploaded,1
upon,2
upper,3
upright,2
upset,2
upsetting,1
upstairs,1
urban,2
urgent,3
urges,2
us,45
usage,1
usages,1
use,16
used,34
useful,1
user,1
users,5
uses,1
usher,1
using,6
usual,4
usually,10
vacant,1
vacation,8
vain,2
valentine’s,1
valley,1
valuable,2
value,3
van,1
vandalized,1
vanished,2
varied,1
variety,1
various,14
vase,1
vast,1
vegetables,1
vegetarian,1
vehicle,2
vending,1
vendition,1
vendor,1
vendors,2
verb,1
versatility,1
verses,2
very,97
vessels,1
vest,1
vice,1
vicepresident,3
vicious,1
victim,2
victims,1
victory,1
video,3
videos,2
view,8
viewed,1
views,2
villa,3
village,6
villagers,2
vinegar,2
vinyl,8
violate,2
violation,1
violence,3
violent,5
violets,1
violin,1
vip,1
virgin,1
virgo,1
virtual,1
virtue,1
virus,1
visible,1
vision,3
visit,8
visited,3
visitors,2
visual,1
vital,2
vitality,3
vitamin,3
vivid,1
vocabularies,1
vocabulary,1
vocal,2
vocalist,1
vodka,2
vogue,1
voice,5
volcano,1
volleyball,1
volume,2
voluntary,1
volunteer,1
volunteers,2
vomit,1
vomited,1
voted,1
voters,1
votes,1
voting,1
vowels,1
voyage,1
wage,1
wages,2
wagging,1
wagon,2
waist,1
wait,4
waited,1
waiter,2
waiting,1
waitress,2
wake,5
wakened,2
wakes,1
walk,7
walked,7
walking,3
walks,1
wall,5
wallet,2
walls,1
walnut,1
wandering,1
want,18
wanted,19
wants,4
war,5
ward,1
warm,5
warming,1
warmth,1
warn,1
warned,2
warridden,1
wars,2
was,668
was;,1
wash,3
washed,2
washing,2
wasn’t,5
waste,1
was”,1
watch,11
watched,7
watching,5
water,16
waterfall,1
watermelon,1
waters,1
wave,1
waved,2
waxed,1
way,39
wayne,5
wayne’s,1
ways,3
we,174
weak,2
weakened,1
weakens,1
weakness,1
wealth,1
wealthy,4
weapon,2
weapons,1
wear,9
wearing,4
wears,3
weather,9
weave,1
web,1
webcams,1
webs,1
website,2
websites,1
wed,1
wedding,6
wednesday,2
weeds,1
week,27
weekdays,2
weekend,9
weekends,10
weekly,1
weeks,2
weep,1
weight,5
weighted,3
weights,2
welcome,3
welcomed,1
welcomes,1
welfare,3
well,21
welleducated,1
wellknown,6
went,75
were,103
weren’t,1
west,1
western,2
westerner,1
wet,5
wetted,1
whale,1
what,63
whatever,4
what’s,3
wheat,1
when,131
whenever,12
where,6
wherever,3
where’s,1
whether,9
whey,2
which,46
while,25
whipped,1
whiskey,1
whisky,1
whispers,1
whistled,1
white,5
who,103
whoever,1
whole,9
whom,3
whose,9
who’s,1
why,17
wicked,1
wide,2
widely,1
widening,1
width,1
wife,22
wife’s,1
wild,2
wildlife,1
will,94
willing,2
willows,1
wimp,1
win,4
wind,3
window,2
window”,1
windy,2
wine,9
winetasting,1
wing,1
wings,1
wink,1
winner,1
winners,1
winning,3
winter,5
wiped,2
wire,1
wisdom,2
wise,1
wish,2
wished,3
wit,1
witch”,1
with,335
withdraw,2
within,4
without,21
witness,1
witnesses’,1
witnessing,1
woke,4
wolf,3
woman,25
woman’s,2
woman”,1
women,7
women’s,2
won,5
wonder,2
wondered,2
wonderful,10
won’t,7
wooden,2
woodlands,1
woods,5
wool,2
word,5
words,9
wore,7
work,35
worked,21
worker,12
workers,9
worker’s,1
working,13
workmen,1
works,18
world,27
worldwide,2
world”,1
worms,1
worried,2
worry,4
worse,2
worship,2
worst,3
worth,9
worthwhile,1
would,74
wouldn’t,2
wound,2
wounds,1
wrapped,3
wrecks,1
wrested,1
wrinkles,1
wrist,2
write,9
writer,8
writers,5
writer”,1
writing,14
written,4
wrong,11
wrote,5
wu,2
xray,1
yams,1
yard,4
yawn,1
year,24
yearly,1
years,44
years”,1
year’s,2
yell,1
yelled,1
yelling,1
yellow,2
yesterday,6
yes”,1
yet,7
yoga,2
yogurt,1
york,3
you,157
young,15
younger,2
youngster,1
youngsters,1
your,65
yours,1
yourself,7
yourself;,1
youth,1
youthful,1
youths,2
youth’s,1
youtube,1
you’ll,6
you”,1
yuan,1
yucky,1
yummy,2
zealand,1
zebras,1
zero,1
zipper,1
zone,1
zoo,4
zoology,1
–,12
